,Text,Speaker
272, She is so great! I miss her.,phoebe
273, What does she mean by 'involved'?,monica
274," I mean presumably, the biggest part of your job is done.",chandler
275," Anyway, they want me to go down to this- sonogram thing with them tomorrow.",ross
276, So what are you gonna do?,rachel
277," I have no idea. No matter what I do, though, I'm still gonna be a father.",ross
278," .....Well, this is still ruined, right?",joey
279, Curry.,monica
280," I- I think they're great! I, I really do. ",ross
281," Aw, Mom...",ross
282," I'm sorry, why is this girl going to call me?",monica
283," No Mom, I don't have a restaurant, I work in a restaurant.",monica
284," Ross, could you come and help me with the spaghetti, please?",monica
285, Yeah. ,ross
286," I know this is going to sound unbelievably selfish, but, were you planning on bringing up the whole baby/lesbian thing? Because I think it might take some of the heat off me.",monica
287, What's that supposed to mean?,monica
288, No it's not. ,monica
289,"  So, Ross, what's going on with you? Any stories?  No news, no little anecdotes to share with the folks?",monica
290,"  Okay! Okay.  Look, I, uh- I realise you guys have been wondering what exactly happened between Carol and me, and, so, well, here's the deal. Carol's a lesbian. She's living with a woman named Susan. She's pregnant with my child, and she and Susan are going to raise the baby.",ross
291," Your folks are really that bad, huh?",joey
292," Well, y'know, these people are pros. They know what they're doing, they take their time, they get the job done.",ross
293," Boy, I know they say you can't change your parents,... boy, if you could-  -I'd want yours.",monica
294, Must pee. ,ross
295," Y'know, it's even worse when you're twins.",phoebe
296, You're twins?,rachel
297," Yeah. We don't speak. She's like this high-powered, driven career type.",phoebe
298, What does she do?,chandler
299, She's a waitress.,phoebe
300," All right, you guys, I kinda gotta clean up now. ",rachel
301," Chandler, you're an only child, right? You don't have any of this.",monica
302," Well, no, although I did have an imaginary friend, who... my parents actually preferred.",chandler
303," The lights, please.. ",rachel
304, ...How long was I in there?,ross
305, I'm just cleaning up.,rachel
306, D'ya.. uh.. d'ya need any help?,ross
307," Uh.. okay, sure! Thanks! ",rachel
308," Anyway.. um..  So, you- uh- you nervous about Barry tomorrow?",ross
309, Oh.. a little..,rachel
310, Mm-hmm..,ross
311, A lot.,rachel
312, Mm.,ross
313," So, got any advice? Y'know, as someone who's recently been- dumped?",rachel
314," Well, you may wanna steer clear of the word 'dumped'. Chances are he's gonna be this, this broken shell of a man, y'know, so you should try not to look too terrific, I know it'll be hard. Or, y'know, uh, hey!, I'll go down there, and I'll give Barry back his ring, and you can go with Carol and Susan to the OB/GYN...",ross
315," Oh, you've got Carol tomorrow.. When did it get so complicated?",rachel
316, Got me.,ross
317, Remember when we were in high school together?,rachel
318, Yeah.,ross
319," I mean, didn't you think you were just gonna meet somone, fall in love- and that'd be it?  ..Ross?",rachel
320," Yes, yes!",ross
321," Oh! Man, I never thought I'd be here.. ",rachel
322, Me either... ,ross
323," Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway.",ross
324, How could I forget? ,ross
325,"  Hello, Susan.  Good shake. Good shake. So, uh, we're just waiting for...?",ross
326, ..Dr. Oberman. Okay. And is he-,ross
327," -she, of course, she- uh- familiar with our.. special situation?",ross
328," Okay, that's great.  No, I'm- Oh. ",ross
329,"  Quack, quack..",ross
330, Barry?,rachel
331,  Are you sure?,rachel
332, I'm- uh- I'm okay... You look great! ,rachel
333, I dumped him.,rachel
334," So, um- so how's this, uh, how's this gonna work? Y'know, with us? Y'know, when, like, important decisions have to be made?",ross
335," Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?",ross
336, Marlon?!,ross
337, ...As in Mouse?,ross
338," Still, you- you say Minnie, you hear Mouse. Um, how about, um.. how about Julia?",ross
339," 'S'funny, um, uh, we agreed we'd spend the rest of our lives together. Things change, roll with the punches. I believe Julia's on the table..?",ross
340," Oh, not much. I-I got a job.",rachel
341, Why are- why are you so tanned?,rachel
342, Oh no. You went on our honeymoon alone?,rachel
343," Mindy?! My maid of honour, Mindy?!",rachel
344," Oh! Well, um..  You've got plugs!",rachel
345, And you've got lenses! But you hate sticking your finger in your eye!,rachel
346, Okay..,rachel
347, Wow.,rachel
348, What?,rachel
349," Anyway, um,  I guess this belongs to you. And thank you for giving it to me. ",rachel
350, Helen Geller? I don't think so.,ross
351, Thank you!,ross
352," What, it's gonna be Helen Willick?",ross
353," Well, wait a minute, wha- why is she in the title?",ross
354," Oh, 's'funny, really? Um, I don't remember you making any sperm.",ross
355," No no no, she gets a credit, hey, I'm in there too. ",ross
356," Of course not, I'm... suggesting Geller-Willick-Bunch.",ross
357," My way?! You-you think this is my way? Believe me, of all the ways I ever imagined this moment in my life being, this is not my way- y'know what? Uh, um, this is too hard. I'm not, I can't do-",ross
358," You- uh- y'know what, I'm gonna go. I don't- I don't think I can be involved in this particular thing right now. ",ross
359, Oh my God. ,ross
360, Well? Isn't that amazing?,ross
361, What are we supposed to be seeing here?,joey
362," I dunno, but.. I think it's about to attack the Enterprise.",chandler
363," You know, if you tilt your head to the left, and relax your eyes, it kinda looks like an old potato.",phoebe
364," Then don't do that, alright?",ross
365, Okay!,phoebe
366, Monica. Whaddya think?,ross
367,  Mm-hmm.,monica
368, Wh- are you welling up?,ross
369, No.,monica
370," You are, you're welling up.",ross
371, Am not!,monica
372, You're gonna be an aunt.,ross
373,  Oh shut up!,monica
374,"  Hi, Mindy. Hi, it-it's Rachel. Yeah, I'm fine. I-I saw Barry today. Oh, yeah, yeah he-he told me. No, no, it's okay. I hope you two are very happy, I really do. Oh, oh, and Mind, y'know, if-if everything works out, and you guys end up getting married and having kids- and everything- I just hope they have his old hairline and your old nose.   Okay, I know it was a cheap shot, but I feel SO much better now.",rachel
375,  Hi guys!,phoebe
376," Hey. Oh, oh, how'd it go? ",ross
377," Um, not so good. He walked me to the subway and said 'We should do this again!'",phoebe
378," What? He said 'we should do it again', that's good, right?",rachel
379," Uh, no. Loosely translated 'We should do this again' means 'You will never see me naked'. ",monica
380, Since when?,rachel
381," Since always. It's like dating language. Y'know, like 'It's not you' means 'It is you'.",joey
382, Or 'You're such a nice guy' means 'I'm gonna be dating leather-wearing alcoholics and complaining about them to you'. ,chandler
383," Or, or, y'know, um, 'I think we should see other people' means 'Ha, ha, I already am'.",phoebe
384, And everybody knows this?,rachel
385, Yeah. Cushions the blow.,joey
386," Yeah, it's like when you're a kid, and your parents put your dog to sleep, and they tell you it went off to live on some farm.",chandler
387," That's funny, that, no, because, uh, our parents actually did, uh, send our dog off to live on a farm.",ross
388," Uh, Ross.",monica
389," What? Wh- hello? The Millners' farm in Connecticut? The Millners, they had this unbelievable farm, they had horses, and, and rabbits that he could chase and it was- it w- .....Oh my God, Chi Chi!",ross
390," ""So how does it feel knowing you're about to die?""",chandler
391," ""Warden, in five minutes my pain will be over. But you'll have to live with the knowledge that you sent an honest man to die.""",joey
392," Hey, that was really good! ",chandler
393, Thanks! Let's keep going.,joey
394," Okay. ""So. Whaddya want from me, Damone, huh?""",chandler
395," ""I just wanna go back to my cell. 'Cause in my cell, I can smoke.""",joey
396," ""Smoke away.""",chandler
397, I think this is probably why Damone smokes in his cell alone.,chandler
398, What?,joey
399, Relax your hand!,chandler
400, Not so much!,chandler
401, Whoah!,joey
402, Hey!,chandler
403, Hey!,joey
404," Alright, now try taking a puff.",chandler
405, Alright.. okay. No. Give it to me.,chandler
406," No no no, I am not giving you a cigarette.",joey
407," It's fine, it's fine. Look, do you wanna get this part, or not? Here.",chandler
408," Don't think of it as a cigarette. Think of it as the thing that's been missing from your hand. When you're holding it, you feel right. You feel complete.",chandler
409, Y'miss it?,joey
410," Nah, not so much. Alright, now we smoke.  Oh.. my.. God. ",chandler
411," No, no, no. They say it's the same as the distance from the tip of a guy's thumb to the tip of his index finger.",monica
412, That's ridiculous!,joey
413, Can I use.. either thumb?,ross
414,"  Alright, don't tell me, don't tell me!  Decaf cappucino for Joey.. Coffee black.. Late.. And an iced tea. I'm getting pretty good at this!",rachel
415,  Good for me!,rachel
416," Y'okay, Phoebe?",joey
417," Yeah- no- I'm just- it's, I haven't worked- It's my bank.",phoebe
418, What did they do to you?,monica
419," It's nothing, it's just- Okay. I'm going through my mail, and I open up their monthly, you know, STATEMENT-",phoebe
420, Easy.,ross
421, - and there's five hundred extra dollars in my account.,phoebe
422," Oh, Satan's minions at work again...",chandler
423," Yes, 'cause now I have to go down there, and deal with them.",phoebe
424, What are you talking about? Keep it!,joey
425," It's not mine, I didn't earn it, if I kept it, it would be like stealing.",phoebe
426," Yeah, but if you spent it, it would be like shopping!",rachel
427," Okay. Okay, let's say I bought a really great pair of shoes. Do you know what I'd hear, with every step I took? 'Not-mine. Not-mine. Not-mine.' And even if I was happy, okay, and, and skipping- 'Not-not-mine, not-not-mine, not-not-mine, not-not-mine'...",phoebe
428, We're with you. We got it.,monica
429, Okay. I'd- just- I'd never be able to enjoy it. It would be like this giant karmic debt.,phoebe
430," Chandler, what are you doing?",rachel
431,  Hey. Whaddya doing?,monica
432, What is this?!,ross
433," I'm smoking. I'm smoking, I'm smoking.",chandler
434," Oh, I can't believe you! You've been so good, for three years!",phoebe
435, And this- is my reward!,chandler
436," Hold on a second, alright? Just think about what you went through the last time you quit.",ross
437," Okay, so this time I won't quit!",chandler
438," All right! I'm putting it out, I'm putting it out. ",chandler
439," Oh, no! I- I can't drink this now!",phoebe
440," Alright. I'm gonna go change, I've got a date.",monica
441, This Alan again? How's it goin'?,rachel
442," 'S'going pretty good, y'know? It's nice, and, we're having fun.",monica
443, So when do we get to meet the guy?,joey
444," Let's see, today's Monday... Never.",monica
445, No. Not after what happened with Steve.,monica
446, What are you talking about? We love Schhteve! Schhteve was schhexy!.. Sorry.,chandler
447," Look, I don't even know how I feel about him yet. Just give me a chance to figure that out.",monica
448," Well, then can we meet him?",rachel
449, Nope. Schhorry.,monica
450," I mean, why should I let them meet him? I mean, I bring a guy home, and within five minutes they're all over him. I mean, they're like- coyotes, picking off the weak members of the herd.",monica
451," I know. I just wish that once, I'd bring a guy home that they actually liked.",monica
452," Let it go, Ross. ",joey
453," Yeah, well, you didn't know Chi Chi.",ross
454, Do you all promise?,monica
455,  Chandler? Do you promise to be good?,monica
456," You can come in, but your filter-tipped little buddy has to stay outside!",joey
457," Hey, Pheebs.",ross
458," 'Dear Ms. Buffay. Thank you for calling attention to our error. We have credited your account with five hundred dollars. We're sorry for the inconvenience, and hope you'll accept this-  -football phone as our free gift.' Do you believe this?! Now I have a thousand dollars, and a football phone! ",phoebe
459, What bank is this?,rachel
460, Hey. It's him.  Who is it?,monica
461,  Chandler! He's here!,joey
462,"  Okay, please be good, please. Just remember how much you all like me.",monica
463," Hi. Alan, this is everybody. Everybody, this is Alan.",monica
464,"  Thanks. I'll call you tomorrow.  Okay. Okay, let's let the Alan-bashing begin. Who's gonna take the first shot, hmm?",monica
465, C'mon!,monica
466," ...I'll go. Let's start with the way he kept picking at- no, I'm sorry, I can't do this, can't do this. We loved him.",ross
467, Wait a minute! We're talking about someone that I'm going out with?,monica
468, And did you notice...? ,rachel
469, Know what was great? The way his smile was kinda crooked.,joey
470," Yes, yes! Like the man in the shoe!",phoebe
471, ...What shoe?,ross
472," From the nursery rhyme. 'There was a crooked man, Who had a crooked smile, Who lived in a shoe, For a... while...'",phoebe
473, ...So I think Alan will become the yardstick against which all future boyfriends will be measured.,ross
474," What future boyfriends? Nono, I th- I think this could be, y'know, it.",rachel
475, Really!,monica
476," Oh, yeah. I'd marry him just for his David Hasselhof impression alone. You know I'm gonna be doing that at parties, right? ",chandler
477," You know what I like most about him, though?",ross
478, The way he makes me feel about myself.,ross
479, Hi.. how was the game?,monica
480, Well..,ross
481, Fantastic! I have one question: How is that possible?,monica
482, Alan.,joey
483," He was unbelievable. He was like that-that-that Bugs Bunny cartoon where Bugs is playing all the positions, right, but instead of Bugs it was first base-Alan, second base-Alan, third base-...",ross
484," I mean, it-it was like, it was like he made us into a team.",rachel
485," Yep, we sure showed those Hassidic jewellers a thing or two about softball..",chandler
486, Can I ask you guys a question? D'you ever think that Alan is maybe.. sometimes..,monica
487, What?,ross
488," ..I dunno, a little too Alan?",monica
489," Well, no. That's impossible. You can never be too Alan.",rachel
490," Yeah, it's his, uh, innate Alan-ness that-that-that we adore.",ross
491, I personally could have a gallon of Alan.,chandler
492," Hey, Lizzie.",phoebe
493, I brought you alphabet soup.,phoebe
494," Yes. But I left in the Ys. 'Cause, y'know, ""sometimes y"". Uh, I also have something else for you. ",phoebe
